name,apps,mins,goals,xg,Goals vs xG,shots,sot,conv %,xG per Shot
James Tarkowski,7,630,0,0.42,-0.42,1,0,0.00%,0.42
Ryan Gravenberch,6,540,2,0.42,1.58,10,4,20.00%,0.04
Konstantinos Mavropanos,5,450,0,0.42,-0.42,4,1,0.00%,0.11
Joe Rodon,7,630,1,0.42,0.58,6,2,16.67%,0.07
Wilson Odobert,7,238,0,0.41,-0.41,4,1,0.00%,0.10
Sander Berge,7,600,0,0.41,-0.41,1,1,0.00%,0.41
Alex Iwobi,7,547,1,0.40,0.60,10,3,10.00%,0.04
Daichi Kamada,5,437,0,0.39,-0.39,5,2,0.00%,0.08
Maximilian Kilman,7,630,0,0.39,-0.39,2,0,0.00%,0.20
Emmanuel Agbadou,7,525,0,0.38,-0.38,6,2,0.00%,0.06
Tyrick Mitchell,7,630,1,0.35,0.65,4,2,25.00%,0.09
Mason Mount,6,274,1,0.35,0.65,4,1,25.00%,0.09
Lewis Dunk,7,630,0,0.34,-0.34,6,0,0.00%,0.06
Chris Richards,7,630,0,0.34,-0.34,3,0,0.00%,0.11
Mikel Merino,6,243,1,0.34,0.66,4,2,25.00%,0.08
Oscar Bobb,6,362,0,0.33,-0.33,2,0,0.00%,0.16
Sandro Tonali,7,606,0,0.33,-0.33,9,3,0.00%,0.04
Alex Scott,7,453,1,0.33,0.67,7,1,14.29%,0.05
Tyrone Mings,6,482,0,0.33,-0.33,3,0,0.00%,0.11
Bruno Guimarães,6,540,2,0.32,1.68,4,2,50.00%,0.08
Evann Guessand,6,284,0,0.32,-0.32,2,2,0.00%,0.16
Loum Tchaouna,7,313,0,0.31,-0.31,5,1,0.00%,0.06
Maxence Lacroix,7,630,0,0.31,-0.31,2,1,0.00%,0.15
Pape Matar Sarr,6,375,1,0.31,0.69,3,2,33.33%,0.10
Lesley Ugochukwu,6,288,1,0.30,0.70,4,1,25.00%,0.08
Georginio Rutter,6,370,0,0.30,-0.30,6,3,0.00%,0.05
Noni Madueke,5,306,0,0.29,-0.29,5,2,0.00%,0.06
Leny Yoro,7,453,0,0.28,-0.28,3,0,0.00%,0.09
Xavi Simons,4,252,0,0.28,-0.28,4,1,0.00%,0.07
Martín Zubimendi,7,591,2,0.27,1.73,6,2,33.33%,0.04
Lucas Digne,7,489,0,0.26,-0.26,4,2,0.00%,0.07
Alexis Mac Allister,6,390,0,0.26,-0.26,5,1,0.00%,0.05
Mikkel Damsgaard,5,416,1,0.25,0.75,3,1,33.33%,0.08
Diego Gómez,6,311,0,0.24,-0.24,5,2,0.00%,0.05
João Gomes,7,603,0,0.24,-0.24,3,0,0.00%,0.08
Marc Cucurella,7,538,0,0.24,-0.24,5,2,0.00%,0.05
Patrick Dorgu,6,471,0,0.24,-0.24,4,0,0.00%,0.06
Yehor Yarmoliuk,7,602,0,0.23,-0.23,5,2,0.00%,0.05
Neco Williams,7,630,1,0.23,0.77,6,3,16.67%,0.04
Curtis Jones,6,224,0,0.21,-0.21,2,0,0.00%,0.10
Jean-Ricner Bellegarde,7,253,0,0.20,-0.20,6,1,0.00%,0.03
Milos Kerkez,7,513,0,0.20,-0.20,2,0,0.00%,0.10
Jayden Bogle,7,615,0,0.19,-0.19,5,1,0.00%,0.04
Matheus Nunes,5,334,1,0.18,0.82,2,1,50.00%,0.09
Maxime Estève,7,622,0,0.18,-0.18,4,1,0.00%,0.05
Virgil van Dijk,7,630,0,0.18,-0.18,2,1,0.00%,0.09
El Hadji Malick Diouf,7,630,0,0.18,-0.18,5,2,0.00%,0.04
Djed Spence,6,405,0,0.18,-0.18,2,1,0.00%,0.09
Nathan Collins,7,630,0,0.17,-0.17,3,2,0.00%,0.06
Gabriel Gudmundsson,7,609,0,0.17,-0.17,3,0,0.00%,0.06
Tomás Soucek,4,233,0,0.17,-0.17,4,3,0.00%,0.04
Hannibal Mejbri,6,249,0,0.16,-0.16,3,0,0.00%,0.05
Josh Laurent,7,450,0,0.16,-0.16,5,2,0.00%,0.03
Dan Ndoye,7,499,1,0.16,0.84,2,1,50.00%,0.08
